Country,Continent,Tests,Density,UrbanPop,Restrictions,HospitalBed,Lung,MedianAge,GDP2018,CrimeIndex,Population2020,Smoking2016,TotalInfected,TotalDeaths,TotalRecovered
Switzerland,Europe,4000,219,74,1,4.7,15.22,42.4,7.05E+11,21.18,8654.622,25.7,25415,1106,12700
Tanzania,Africa,NaN,67,37,0,0.7,18.09,17.7,58001200572,59.83,59734.218,14.8,32,3,5
Thailand,Asia,7084,137,51,0,2.1,25.82,37.7,5.05E+11,41.29,69799.978,19.9,2551,38,1218
Tunisia,Africa,NaN,76,70,0,2.3,23.54,31.6,39871132268,40.64,11818.619,32.7,707,31,43
Turkey,Europe,NaN,110,76,1,2.7,35.63,30.9,7.71E+11,39.86,84339.067,27.2,56956,1198,3446
United States,AmericaN,62657,36,83,1,2.9,32.01,38.1,2.05E+13,46.73,331002.651,21.8,555313,22020,32988
Ukraine,Europe,500,75,69,0,8.8,11.11,40.6,1.31E+11,49.04,43733.762,28.9,2777,83,89
United Arab Emirates,,125000,118,86,0,1.2,18.37,30.3,4.14E+11,15.52,9890.402,28.9,4123,22,680
United Kingdom,Europe,50442,281,83,1,2.8,23.66,40.5,2.86E+12,43.64,67886.011,22.3,85206,10629,626
Uruguay,AmericaS,NaN,20,96,0,2.8,33.57,35,59596885024,52.33,3473.73,16.8,480,7,231
Vietnam,Asia,9696,314,38,0,2.6,26.26,30.5,2.45E+11,48.22,97338.579,22.8,262,0,144
